area,bedrooms,bathrooms,location,price
1696,3,1,Sawyer,143900
1100,3,1,NAmes,141000
2062,3,2,SawyerW,277000
1092,3,1,NAmes,145000
864,2,1,Edwards,98000
1212,3,2,Edwards,186000
1852,3,2,Somerst,252678
990,3,1,CollgCr,156000
1392,3,1,CollgCr,161750
1236,2,1,NAmes,134450
1436,3,2,CollgCr,210000
1328,3,1,OldTown,107000
1954,3,1,Crawfor,311500
1248,2,2,Blmngtn,167240
1498,2,2,CollgCr,204900
2267,4,2,Gilbert,200000
1552,3,2,NWAmes,179900
864,2,1,NAmes,97000
2392,3,2,NridgHt,386250
1302,3,2,BrDale,112000
2520,4,2,NoRidge,290000
987,2,1,BrDale,106000
912,3,1,Sawyer,125000
1555,2,2,Blmngtn,192500
1194,3,1,NAmes,148000
2794,4,2,NoRidge,403000
987,2,1,BrDale,94500
894,3,1,CollgCr,128200
1960,4,2,Gilbert,216500
987,2,1,BrDale,89500
1414,3,2,CollgCr,185500
1744,3,2,SawyerW,194500
1694,3,2,NridgHt,318000
1487,3,1,Edwards,113000
1566,3,2,Somerst,262500
866,2,1,OldTown,110500
1440,3,1,OldTown,79000
1217,3,1,SawyerW,120000
2110,3,2,SawyerW,205000
1872,3,2,NWAmes,241500
1928,4,2,OldTown,137000
1375,2,1,NAmes,140000
1668,3,2,CollgCr,180000
2144,4,2,ClearCr,277000
1306,3,1,BrkSide,76500
1625,2,2,Crawfor,235000
1640,3,2,SawyerW,173000
1302,3,2,NAmes,158000
1314,3,1,NAmes,145000
2291,4,2,Gilbert,230000
1728,3,2,Somerst,207500
1604,3,2,CollgCr,220000
1792,3,2,CollgCr,231500
882,2,1,OldTown,97000
1382,3,1,NAmes,176000
2574,3,2,CollgCr,276000
1212,3,1,Sawyer,151000
1316,3,1,OldTown,130000
764,2,1,OldTown,73000
1422,3,2,NWAmes,175500
1511,3,2,Gilbert,185000
2192,4,2,SWISU,179500
778,2,1,IDOTRR,120500
1113,3,1,Edwards,148000
1939,3,2,Somerst,266000
1363,2,1,ClearCr,241500
2270,4,2,NoRidge,290000
1632,3,2,NAmes,139000
816,2,1,Mitchel,124500
1548,3,2,BrkSide,205000
1560,3,2,Mitchel,201000
864,2,1,Gilbert,141000
2121,3,2,NridgHt,415298
2022,4,2,ClearCr,192000
1982,3,2,SawyerW,228500
1262,2,2,Somerst,185000
1314,2,2,NridgHt,207500
1468,3,2,Somerst,244600
1575,2,2,SawyerW,179200
1250,2,2,Somerst,164700
1734,3,1,NAmes,159000
858,3,1,NAmes,88000
900,3,1,Sawyer,122000
1396,3,1,BrkSide,153575
1919,3,2,CollgCr,233230
1716,6,2,SWISU,135900
1716,3,1,Edwards,131000
2263,3,2,NWAmes,235000
1644,3,1,NAmes,167000
1003,3,1,Mitchel,142500
1558,4,1,IDOTRR,152000
1950,3,2,Somerst,239000
1743,3,1,NWAmes,175000
1152,3,1,Crawfor,158500
1336,2,1,Crawfor,157000
2452,4,2,CollgCr,267000
1541,3,2,CollgCr,205000
894,3,1,CollgCr,149900
3493,3,3,OldTown,295000
2000,3,2,CollgCr,305900
2243,4,2,SawyerW,225000
1406,3,1,IDOTRR,89500
861,1,1,Edwards,82500
1944,3,2,NridgHt,360000
1501,3,2,Gilbert,165600
972,2,1,NAmes,132000
1118,3,1,OldTown,119900
2036,3,2,Timber,375000
1641,3,1,OldTown,178000
1432,3,2,Gilbert,188500
2353,4,2,NWAmes,260000
1959,3,2,Somerst,270000
2646,4,2,NoRidge,260000
1472,3,2,NWAmes,187500
2596,4,3,NridgHt,342643
2468,4,2,NridgHt,354000
2730,4,2,SawyerW,301000
1163,3,1,OldTown,126175
2978,5,2,NAmes,242000
803,2,1,IDOTRR,87000
1719,1,1,Veenker,324000
1383,3,1,NAmes,145250
2134,5,2,BrkSide,214500
1192,3,1,IDOTRR,78000
1728,6,2,NAmes,119000
1056,3,1,NAmes,139000
1629,3,2,NridgHt,284000
1358,2,2,NridgHt,207000
1638,3,2,Gilbert,192000
1786,3,2,Timber,228950
1922,3,2,StoneBr,377426
1536,3,2,CollgCr,214000
1621,3,2,NWAmes,202500
1215,3,1,NAmes,155000
1908,4,2,Timber,202900
841,2,1,SawyerW,82000
1040,2,2,NAmes,87500
1684,2,2,NridgHt,266000
1112,3,1,MeadowV,85000
1577,3,1,BrkSide,140200
958,2,1,NAmes,151500
1478,3,2,NAmes,157500
1626,2,2,NridgHt,154000
2728,4,2,NridgHt,437154
1869,2,2,NridgHt,318061
1453,2,1,ClearCr,190000
1111,3,1,Edwards,95000
720,2,1,OldTown,105900
1595,2,1,SWISU,140000
1200,3,2,CollgCr,177500
1167,3,2,Gilbert,173000
1142,3,1,MeadowV,134000
1352,3,1,ClearCr,130000
1924,3,2,NoRidge,280000
912,2,1,Mitchel,156000
1505,3,1,BrkSide,145000
1922,4,3,Edwards,198500
987,2,1,BrDale,118000
1574,3,2,NWAmes,190000
1344,3,1,IDOTRR,147000
1394,3,1,NAmes,159000
1431,3,1,NAmes,165000
1268,2,1,NAmes,132000
1287,3,1,NAmes,162000
1664,3,2,Gilbert,172400
1588,4,2,ClearCr,134432
752,2,1,SawyerW,125000
1319,3,1,NAmes,123000
1928,4,2,CollgCr,219500
904,1,0,Edwards,61000
914,2,1,CollgCr,148000
2466,4,3,Somerst,340000
1856,1,1,StoneBr,394432
1800,3,2,Gilbert,179000
1691,3,2,SWISU,127000
1301,2,2,Somerst,187750
1797,3,2,CollgCr,213500
784,2,1,SawyerW,76000
1953,3,2,ClearCr,240000
1269,2,2,Blmngtn,192000
1184,5,1,Edwards,81000
1125,3,1,Edwards,125000
1479,3,2,CollgCr,191000
2332,3,2,NridgHt,426000
1367,4,1,Edwards,119000
1961,3,2,Mitchel,215000
882,3,1,NAmes,106500
788,2,1,BrkSide,100000
1034,2,1,OldTown,109000
1144,3,1,Edwards,129000
894,2,1,CollgCr,123000
1812,4,2,NAmes,169500
1077,2,1,IDOTRR,67000
1550,2,2,Somerst,241000
1288,1,1,Veenker,245500
1310,3,2,CollgCr,164990
672,2,1,Sawyer,108000
2263,4,2,NoRidge,258000
1572,3,2,Gilbert,168000
1620,3,2,Sawyer,150000
1639,3,1,SWISU,115000
1680,4,2,Crawfor,177000
2172,3,2,NridgHt,280000
2078,3,2,Somerst,339750
1276,3,1,Edwards,60000
1056,3,1,Gilbert,145000
1478,2,2,Somerst,222000
1028,2,1,OldTown,115000
2097,3,2,SawyerW,228000
1340,3,2,Gilbert,181134
1400,3,1,Sawyer,149500
2624,4,2,Crawfor,239000
1134,3,1,Edwards,126000
1056,3,1,NAmes,142000
1344,2,2,Mitchel,206300
1602,3,2,NWAmes,215000
988,2,1,Mitchel,113000
2630,4,2,NoRidge,315000
1196,2,1,NAmes,139000
1389,3,1,OldTown,135000
1644,2,2,SawyerW,275000
907,3,1,NAmes,109008
1208,2,2,CollgCr,195400
1412,3,2,Timber,175000
987,2,1,BrDale,85400
1198,4,1,OldTown,79900
1365,2,1,BrDale,122500
1604,3,2,Gilbert,181000
630,1,1,MeadowV,81000
1661,3,2,CollgCr,212000
1118,2,1,OldTown,116000
904,2,1,BrkSide,119000
694,2,1,Crawfor,90350
1196,3,1,Edwards,110000
2402,2,2,NridgHt,555000
1440,4,2,Edwards,118000
1573,3,2,BrkSide,162900
1258,2,2,Blmngtn,172500
1908,4,2,CollgCr,210000
1689,3,1,Edwards,127500
1888,2,2,NAmes,190000
1886,4,2,Gilbert,199900
1376,3,2,IDOTRR,119500
1183,2,1,OldTown,120000
813,2,1,OldTown,110000
1533,2,2,ClearCr,280000
1756,3,2,Timber,204000
1590,3,2,Somerst,210000
1728,4,2,Mitchel,188000
1242,3,1,NWAmes,175500
1344,4,1,OldTown,98000
1663,2,1,ClearCr,256000
1666,3,1,OldTown,161000
1203,3,1,BrkSide,110000
1935,3,2,Somerst,263435
1135,3,1,SWISU,155000
864,3,1,Sawyer,62383
1660,3,1,Crawfor,188700
1040,3,2,CollgCr,124000
1414,2,2,Blmngtn,178740
1277,2,1,NAmes,167000
1644,3,1,NAmes,146500
1634,3,2,NridgHt,250000
1710,3,2,SawyerW,187000
1502,1,1,StoneBr,212000
1969,3,2,NWAmes,190000
1072,2,1,Edwards,148000
1976,2,2,NridgHt,440000
1652,2,2,StoneBr,251000
970,2,1,Sawyer,132500
1493,3,2,CollgCr,208900
2643,3,2,NridgHt,380000
1718,3,2,CollgCr,297000
1131,2,1,OldTown,89471
1850,3,2,NridgHt,326000
1792,2,2,NridgHt,374000
1826,4,1,OldTown,155000
1216,2,2,Mitchel,164000
999,3,1,Sawyer,132500
1113,3,1,NAmes,147000
1073,3,1,NAmes,156000
1484,3,2,NWAmes,175000
2414,3,2,OldTown,160000
630,1,1,MeadowV,86000
1304,3,1,MeadowV,115000
1578,3,1,NAmes,133000
1456,3,2,Gilbert,172785
1269,3,1,NAmes,155000
886,2,1,OldTown,91300
720,2,1,IDOTRR,34900
3228,4,3,NoRidge,430000
1820,4,2,BrkSide,184000
899,3,1,Sawyer,130000
912,2,1,NAmes,120000
1218,3,1,BrDale,113000
1768,3,2,Somerst,226700
1214,2,1,Edwards,140000
1801,1,2,Crawfor,289000
1322,3,2,NPkVill,147000
1960,4,2,OldTown,124500
1911,3,2,SawyerW,215000
1218,2,2,Somerst,208300
1378,3,2,OldTown,161000
1041,3,1,NAmes,124500
1363,2,1,NAmes,164900
1368,2,2,NridgHt,202665
864,3,1,NAmes,129900
1080,3,1,Mitchel,134000
789,2,1,Crawfor,96500
2020,3,2,NridgHt,402861
2119,3,2,NWAmes,158000
2344,3,2,NoRidge,265000
1796,3,2,CollgCr,211000
2080,3,1,Crawfor,234000
1294,3,2,OldTown,106250
1244,3,1,NAmes,150000
1664,3,2,BrkSide,159000
4676,3,3,Edwards,184750
2398,3,2,NoRidge,315750
1266,3,2,Somerst,176000
928,2,1,NAmes,132000
2713,3,2,NridgHt,446261
605,2,1,Edwards,86000
2515,4,3,Crawfor,200624
1509,3,2,Timber,175000
1362,3,2,BrkSide,128000
827,2,1,NAmes,107500
334,1,1,BrkSide,39300
1414,3,2,Gilbert,178000
1347,3,1,Edwards,107500
1724,3,2,CollgCr,188000
864,3,1,NAmes,111250
1159,3,1,Sawyer,158000
1601,3,2,CollgCr,272000
1838,2,2,Timber,315000
2285,4,2,NoRidge,248000
1680,3,2,NWAmes,213250
767,1,1,NAmes,133000
1496,3,2,Gilbert,179665
2183,4,2,NWAmes,229000
1635,3,1,BrkSide,210000
768,2,1,Mitchel,129500
825,2,1,OldTown,125000
2094,4,2,Somerst,263000
1069,2,2,NPkVill,140000
928,3,1,OldTown,112500
1717,3,2,NridgHt,255500
1126,2,2,Edwards,108000
2046,3,2,NridgHt,284000
1048,2,1,BrkSide,113000
1092,2,1,NAmes,141000
1336,3,1,IDOTRR,108000
1446,3,2,Gilbert,175000
1557,2,2,Blmngtn,234000
1392,3,1,Sawyer,121500
1389,2,1,Mitchel,170000
996,3,1,Edwards,108000
1674,4,2,Edwards,185000
2295,4,2,NoRidge,268000
1647,4,1,SWISU,128000
2504,4,2,StoneBr,325000
1535,3,2,NridgHt,214000
2132,1,1,SawyerW,316600
943,2,1,NAmes,135960
1728,6,2,NAmes,142600
864,2,1,NAmes,120000
1692,3,2,Timber,224500
1430,3,2,Gilbert,170000
1109,3,1,NAmes,139000
1216,2,1,NAmes,118500
1477,3,2,SWISU,145000
1320,3,1,Sawyer,164500
1392,2,2,Somerst,146000
1795,4,2,OldTown,131500
1429,3,1,NAmes,181900
2042,3,2,NridgHt,253293
816,3,1,Edwards,118500
2775,3,3,OldTown,325000
1573,3,1,BrkSide,133000
2028,2,2,Timber,369900
838,2,1,BrkSide,130000
860,2,1,Sawyer,137000
1473,1,1,ClearCr,143000
935,2,1,BrkSide,79500
1582,3,2,CollgCr,185900
2296,3,2,NridgHt,451950
816,2,1,Mitchel,138000
848,1,1,CollgCr,140000
924,3,1,CollgCr,110000
1826,3,2,StoneBr,319000
1368,3,1,OldTown,114504
1402,2,0,Blmngtn,194201
1647,3,2,Crawfor,217500
1556,3,2,Blueste,151000
1904,3,2,NridgHt,275000
1375,3,1,IDOTRR,141000
1915,3,2,SawyerW,220000
1200,2,2,Somerst,151000
1494,3,2,CollgCr,221000
1986,3,2,NAmes,205000
1040,3,1,CollgCr,152000
2008,3,3,Edwards,225000
3194,4,2,Crawfor,359100
1029,3,1,Sawyer,118500
2153,3,2,CollgCr,313000
1032,3,2,NWAmes,148000
1872,3,2,CollgCr,261500
1120,3,1,Mitchel,147000
630,1,1,MeadowV,75500
1054,3,1,NAmes,137500
1509,3,2,Gilbert,183200
832,2,1,NAmes,105500
1828,3,2,NridgHt,314813
2262,4,2,Timber,305000
864,2,1,Edwards,67000
2614,4,2,NWAmes,240000
980,3,1,Sawyer,135000
1512,2,2,Somerst,168500
1790,4,1,NWAmes,165150
1116,3,1,NAmes,160000
1422,3,1,NAmes,139900
1520,3,1,NAmes,153000
2080,5,1,NAmes,135000
1350,3,1,NAmes,168500
1750,3,1,OldTown,124000
1554,2,2,NridgHt,209500
1411,3,2,NWAmes,82500
1056,3,1,NAmes,139400
1056,0,0,OldTown,144000
3395,8,2,SWISU,200000
800,1,1,BrkSide,60000
1387,3,2,OldTown,93000
796,2,1,Edwards,85000
1567,1,2,Blmngtn,264561
1518,1,1,NridgHt,274000
1929,3,2,Somerst,226000
2704,4,2,NAmes,345000
1620,4,2,NWAmes,152000
1766,2,2,Somerst,370878
981,3,1,NAmes,143250
1048,3,1,NAmes,98300
1094,3,1,Edwards,155000
1839,4,1,NAmes,155000
630,1,1,MeadowV,84500
1665,3,2,Somerst,205950
1510,4,1,Edwards,108000
1716,2,2,CollgCr,191000
1469,3,1,IDOTRR,135000
2113,2,2,NoRidge,350000
1092,3,1,BrDale,88000
1053,3,1,NAmes,145500
1502,3,1,Crawfor,149000
1458,3,1,NAmes,97500
1486,3,1,Edwards,167000
1935,3,2,NWAmes,197900
2448,4,2,NoRidge,402000
1392,2,1,NAmes,110000
1181,3,2,Edwards,137500
2097,1,1,Somerst,423000
1936,3,2,Gilbert,230500
2380,3,2,NAmes,129000
1679,3,2,SawyerW,193500
1437,3,1,Sawyer,168000
1180,2,1,Crawfor,137500
1476,3,2,CollgCr,173500
1369,3,2,Edwards,103600
1208,3,1,Veenker,165000
1839,3,2,Crawfor,257500
1136,3,1,NAmes,140000
1441,3,2,NPkVill,148500
1774,4,2,OldTown,87000
792,2,1,OldTown,109500
2046,3,2,StoneBr,372500
988,3,1,Sawyer,128500
923,2,2,SawyerW,143000
1520,3,1,SWISU,159434
1291,2,1,ClearCr,173000
1668,3,2,CollgCr,285000
1839,4,2,NoRidge,221000
2090,3,2,StoneBr,207500
1761,3,3,Somerst,227875
1102,2,2,Somerst,148800
1419,2,2,StoneBr,392000
1362,2,2,NridgHt,194700
848,1,1,CollgCr,141000
4316,4,3,NoRidge,755000
2519,4,2,Timber,335000
1073,2,1,OldTown,108480
1539,3,1,BrkSide,141500
1137,2,2,Timber,176000
616,2,1,BrkSide,89000
1148,2,1,Edwards,123500
894,3,1,Sawyer,138500
1391,2,2,Somerst,196000
1800,3,2,Timber,312500
1164,3,1,NWAmes,140000
2576,4,2,StoneBr,361919
1812,4,2,OldTown,140000
1484,3,2,CollgCr,213000
1092,3,2,IDOTRR,55000
1824,2,2,ClearCr,302000
1324,2,2,NridgHt,254000
1456,3,2,Gilbert,179540
904,3,1,Sawyer,109900
729,2,1,BrkSide,52000
1178,2,1,IDOTRR,102776
1228,2,2,StoneBr,189000
960,3,1,BrkSide,129000
1479,3,2,Sawyer,130500
1350,3,2,NWAmes,165000
2554,3,1,OldTown,159500
1178,3,1,NWAmes,157000
2418,3,2,NoRidge,341000
971,3,1,CollgCr,128500
1742,2,2,StoneBr,275000
848,1,1,CollgCr,143000
864,3,1,NAmes,124500
1470,4,2,Edwards,135000
1698,3,2,Edwards,320000
864,3,1,NAmes,120500
1680,3,2,Crawfor,222000
1232,2,2,CollgCr,194500
1776,4,2,NAmes,110000
1208,2,1,IDOTRR,103000
1616,2,2,StoneBr,236500
1146,3,2,Timber,187500
2031,3,2,CollgCr,222500
1144,3,1,Sawyer,131400
948,3,1,Sawyer,108000
1768,2,1,OldTown,163000
1040,2,2,NAmes,93500
1801,3,2,Gilbert,239900
1200,3,3,Edwards,179000
1728,3,2,CollgCr,190000
1432,2,2,OldTown,132000
912,3,1,Sawyer,142000
1349,3,2,SawyerW,179000
1464,3,2,Sawyer,175000
1337,2,2,StoneBr,180000
2715,4,3,NWAmes,299800
2256,4,2,Gilbert,236000
2640,4,1,OldTown,265979
1720,3,2,NoRidge,260400
1529,4,2,Edwards,98000
1140,3,1,OldTown,96500
1320,3,2,Gilbert,162000
1494,3,2,CollgCr,217000
2098,3,2,NridgHt,275500
1026,3,1,NAmes,156000
1471,3,2,Somerst,172500
1768,3,2,CollgCr,212000
1386,3,2,Sawyer,158900
1501,3,2,Somerst,179400
2531,4,2,NoRidge,290000
864,2,1,NAmes,127500
1301,2,1,BrkSide,100000
1547,3,2,Somerst,215200
2365,3,2,NoRidge,337000
1494,2,1,Veenker,270000
1506,2,2,Somerst,264132
1714,3,2,NWAmes,196500
1750,4,2,Mitchel,160000
1836,3,2,CollgCr,216837
3279,4,3,StoneBr,538000
858,2,1,Sawyer,134900
1220,2,1,Edwards,102000
1117,3,1,Edwards,107000
912,2,1,NAmes,114500
1973,3,2,NridgHt,395000
1204,2,2,Mitchel,162000
1614,3,2,CollgCr,221500
894,3,1,Sawyer,142500
2020,4,2,SawyerW,144000
1004,2,1,Mitchel,135000
1253,3,2,Gilbert,176000
1603,3,2,SawyerW,175900
1430,3,2,CollgCr,187100
1110,1,1,Mitchel,165500
1484,3,2,OldTown,128000
1342,3,2,NWAmes,161500
1652,4,2,OldTown,139000
2084,4,2,SawyerW,233000
901,2,1,OldTown,107900
2087,5,2,ClearCr,187500
1145,2,2,Blmngtn,160200
1062,3,1,Mitchel,146800
2013,3,2,NoRidge,269790
1496,3,2,Somerst,225000
1895,3,2,Gilbert,194500
1564,3,2,SawyerW,171000
1285,3,1,Sawyer,143500
773,2,1,NAmes,110000
3140,4,3,NridgHt,485000
1768,3,1,SWISU,175000
1688,4,2,ClearCr,200000
1196,2,1,IDOTRR,109900
1456,3,2,CollgCr,189000
2822,4,3,NridgHt,582933
1128,2,1,NAmes,118000
1428,3,2,Somerst,227680
980,3,2,NAmes,135500
1576,3,1,BrkSide,223500
1086,3,1,NAmes,159950
2138,2,2,OldTown,106000
1309,3,1,NWAmes,181000
848,1,1,CollgCr,144500
1044,2,1,IDOTRR,55993
1442,4,1,NAmes,157900
1250,3,1,Edwards,116000
1661,3,2,CollgCr,224900
1008,2,1,NAmes,137000
1689,3,2,Mitchel,271000
1052,3,1,ClearCr,155000
1358,2,2,NridgHt,224000
1640,3,2,CollgCr,183000
936,2,1,OldTown,93000
1733,3,2,Gilbert,225000
1489,3,2,SWISU,139500
1489,3,2,Somerst,232600
2084,2,2,NridgHt,385000
784,2,1,BrkSide,109500
1434,3,2,SawyerW,189000
2126,3,2,ClearCr,185000
1223,2,2,Somerst,147400
1392,3,1,NAmes,166000
1200,2,2,Somerst,151000
1829,3,2,CollgCr,237000
1516,3,1,NAmes,167000
1144,3,1,NAmes,139950
1067,2,2,Sawyer,128000
1559,2,1,OldTown,153500
987,2,1,BrDale,100000
1099,3,1,CollgCr,144000
1200,3,1,Edwards,130500
1482,4,2,SWISU,140000
1539,3,2,OldTown,157500
1165,3,1,NAmes,174900
1800,6,2,NAmes,141000
1416,4,1,OldTown,153900
1701,3,2,Sawyer,171000
1775,3,2,SawyerW,213000
864,3,1,CollgCr,133500
2358,5,3,ClearCr,240000
1855,3,2,Veenker,187000
848,1,1,CollgCr,131500
1456,2,2,Blmngtn,215000
1646,4,2,Crawfor,164000
1445,3,1,NAmes,158000
1779,3,1,Sawyer,170000
1040,3,1,Sawyer,127000
1026,3,1,CollgCr,147000
1481,3,2,Gilbert,174000
1370,3,2,NWAmes,152000
2654,4,2,NWAmes,250000
1426,3,1,Crawfor,189950
1039,3,1,Sawyer,131500
1097,3,2,SawyerW,152000
1148,3,1,NAmes,132500
1372,3,2,Somerst,250580
1002,3,1,NAmes,148500
1646,3,2,Timber,248900
1120,3,1,Sawyer,129000
2320,2,2,Gilbert,169000
1949,3,2,SawyerW,236000
894,2,1,NAmes,109500
1682,3,2,CollgCr,200500
910,3,1,NAmes,116000
1268,3,1,NAmes,133000
1131,3,1,OldTown,66500
2610,4,2,Somerst,303477
1040,3,1,Mitchel,132250
2224,4,2,NridgHt,350000
1155,3,1,Sawyer,148000
864,3,1,CollgCr,136500
1090,2,1,Edwards,157000
1717,3,2,Timber,187500
1593,3,2,Gilbert,178000
2230,5,1,SWISU,118500
892,3,1,NAmes,100000
1709,2,2,Somerst,328900
1712,4,2,NAmes,145000
1393,3,1,Edwards,135500
2217,4,2,NAmes,268000
1505,2,1,NAmes,149500
924,3,1,NAmes,122900
1683,3,2,Sawyer,172500
1068,3,1,Sawyer,154500
1383,3,1,Sawyer,165000
1535,4,2,SawyerW,118858
1796,4,1,NAmes,140000
951,2,1,IDOTRR,106500
2240,6,2,SawyerW,142953
2364,2,2,NridgHt,611657
1236,3,1,Sawyer,135000
858,2,1,NAmes,110000
1306,2,1,NAmes,153000
1509,3,2,Gilbert,180000
1670,3,2,Gilbert,240000
